2056,0,180,5668,6024,5500
4408,0,192
1988,0,196
12512,0,7336,6932
1412,0,10240
10276,0,7184,7200
7264,0,7360
12516,0,7584,10920
7524,0,5632,6768
5692,0,6088
6064,0,5776,5788,5800
5564,0,5820,5836,5852
5872,0,2236
1044,0,11072
11108,0,6600
6588,0,6748
1128,0,12260
12296,0,6856
6728,0,4156
4232,0,8380
7760,0,7840
7876,0,8152,9028,10108
12396,0,8224,8668,8724
9404,1,9440
9024,0,7764
9188,0,9876
10104,0,7764
9924,0,8748
5192,0,10368
1352,0,10636
10672,0,5196
4812,0,3772,10864
3804,0,7840,2552
8440,0,2260
2272,0,280,356
472,0,340,416
2440,0,304
328,0,212
4644,0,1784
1848,0,4648
4560,0,1760
1772,0,5568
6480,0,10748
10884,0,10588
964,0,10708
10744,0,10888
6112,0,10972
6116,0,10980
10800,0,6484
6452,0,1776
